,index,satisfiability,sat_ass
116,7_k_3_n_5_m_10, SATISFIABLE,v -1 2 -3 4 5 0
117,0_k_3_n_5_m_14, SATISFIABLE,v -1 2 -3 4 -5 0
118,9_k_3_n_5_m_19, SATISFIABLE,v 1 2 -3 4 5 0
119,0_k_3_n_5_m_16, SATISFIABLE,v -1 2 3 -4 5 0
120,6_k_3_n_5_m_10, SATISFIABLE,v -1 -2 3 -4 -5 0
121,2_k_3_n_5_m_13, SATISFIABLE,v -1 2 -3 -4 -5 0
122,5_k_3_n_5_m_19, SATISFIABLE,v -1 2 3 4 5 0
123,7_k_3_n_5_m_24,c Total time (thi thread) : 0.00        , UNSATISFIABLE
124,4_k_3_n_5_m_13, SATISFIABLE,v -1 2 -3 4 -5 0
125,3_k_3_n_5_m_11, SATISFIABLE,v -1 -2 -3 -4 5 0
126,5_k_3_n_5_m_22,c Total time (thi thread) : 0.00        , UNSATISFIABLE
127,7_k_3_n_5_m_21, SATISFIABLE,v 1 -2 -3 -4 -5 0
128,9_k_3_n_5_m_14, SATISFIABLE,v -1 -2 3 4 -5 0
129,3_k_3_n_5_m_18, SATISFIABLE,v 1 2 3 4 -5 0
130,6_k_3_n_5_m_24,c Total time (thi thread) : 0.00        , UNSATISFIABLE
131,3_k_3_n_5_m_13, SATISFIABLE,v -1 -2 3 -4 -5 0
132,7_k_3_n_5_m_14,c Total time (thi thread) : 0.00        , UNSATISFIABLE
133,6_k_3_n_5_m_17, SATISFIABLE,v -1 -2 -3 -4 -5 0
134,4_k_3_n_5_m_16, SATISFIABLE,v -1 2 -3 4 -5 0
135,0_k_3_n_5_m_10, SATISFIABLE,v -1 -2 -3 -4 -5 0
136,6_k_3_n_5_m_14, SATISFIABLE,v -1 2 3 4 -5 0
137,4_k_3_n_5_m_20, SATISFIABLE,v -1 2 -3 4 -5 0
138,4_k_3_n_5_m_24,c Total time (thi thread) : 0.00        , UNSATISFIABLE
139,1_k_3_n_5_m_17, SATISFIABLE,v -1 -2 3 -4 -5 0
140,1_k_3_n_5_m_11, SATISFIABLE,v -1 -2 -3 -4 5 0
141,2_k_3_n_5_m_23,c Total time (thi thread) : 0.00        , UNSATISFIABLE
142,7_k_3_n_5_m_23, SATISFIABLE,v -1 -2 -3 -4 5 0
143,1_k_3_n_5_m_22,c Total time (thi thread) : 0.00        , UNSATISFIABLE
144,2_k_3_n_5_m_10, SATISFIABLE,v -1 2 -3 4 -5 0
145,3_k_3_n_5_m_15, SATISFIABLE,v -1 2 -3 -4 5 0
146,8_k_3_n_5_m_13, SATISFIABLE,v -1 -2 -3 4 -5 0
147,9_k_3_n_5_m_11, SATISFIABLE,v -1 2 3 -4 -5 0
148,0_k_3_n_5_m_21, SATISFIABLE,v -1 2 3 4 5 0
149,9_k_3_n_5_m_13, SATISFIABLE,v -1 2 -3 4 5 0
