,index,iterations,dimacs,runtime,solution
121,721,512,n_5_m_11,0.0175,0
122,722,512,n_5_m_12,0.0188,0
123,723,512,n_5_m_13,0.0001,"[True,False,True,True,False]"
124,724,512,n_5_m_14,0.0001,"[True,False,False,False,False]"
125,725,512,n_5_m_15,0.0184,0
126,726,512,n_5_m_16,0.019,0
127,727,512,n_5_m_17,0.0178,0
128,728,512,n_5_m_18,0.0189,0
129,729,512,n_5_m_19,0.0001,"[True,False,False,True,True]"
130,730,512,n_5_m_20,0.0001,"[True,True,False,False,False]"
131,731,512,n_5_m_21,0.0178,0
132,732,512,n_5_m_22,0.0182,0
133,733,512,n_5_m_23,0.0208,0
134,734,512,n_5_m_24,0.0184,0
135,735,512,n_5_m_10,0.0192,"[True,True,True,False,False]"
136,736,512,n_5_m_11,0.0001,"[True,True,True,False,True]"
137,737,512,n_5_m_12,0.0182,0
138,738,512,n_5_m_13,0.0189,0
139,739,512,n_5_m_14,0.0202,0
140,740,512,n_5_m_15,0.0181,0
141,741,512,n_5_m_16,0.0212,0
142,742,512,n_5_m_17,0.0173,0
143,743,512,n_5_m_18,0.0178,0
144,744,512,n_5_m_19,0.0178,0
145,745,512,n_5_m_20,0.0172,0
146,746,512,n_5_m_21,0.0168,0
147,747,512,n_5_m_22,0.0195,0
148,748,512,n_5_m_23,0.0182,0
149,749,512,n_5_m_24,0.0181,0
