,iterations,dimacs,runtime,solution,minisat_satisfiability,minisat_solution
67,26,n_5_m_17,0.0174,0, SATISFIABLE,v -1 2 -3 -4 -5 0
68,26,n_5_m_18,0.0165,0, SATISFIABLE,v 1 -2 -3 4 5 0
69,26,n_5_m_19,0.0001,"[False,True,False,True,True]", SATISFIABLE,v -1 2 -3 4 -5 0
70,26,n_5_m_20,0.0001,"[True,True,False,True,True]", SATISFIABLE,v -1 2 -3 4 -5 0
71,26,n_5_m_21,0.0001,"[False,True,True,True,True]", SATISFIABLE,v -1 2 3 -4 -5 0
72,26,n_5_m_22,0.0177,0, SATISFIABLE,v -1 -2 3 4 -5 0
73,26,n_5_m_23,0.0181,0, SATISFIABLE,v -1 2 -3 4 5 0
74,26,n_5_m_24,0.0188,0, UNSATISFIABLE,0
75,26,n_5_m_10,0.0192,"[True,True,True,False,False]", SATISFIABLE,v -1 2 3 -4 -5 0
76,26,n_5_m_11,0.0001,"[True,False,True,True,True]", SATISFIABLE,v -1 2 -3 -4 5 0
77,26,n_5_m_12,0.0178,0, SATISFIABLE,v -1 -2 3 -4 -5 0
78,26,n_5_m_13,0.0196,0, SATISFIABLE,v -1 2 3 -4 -5 0
79,26,n_5_m_14,0.0001,"[True,True,True,True,True]", SATISFIABLE,v -1 2 -3 -4 5 0
80,26,n_5_m_15,0.0001,"[False,True,False,True,False]", SATISFIABLE,v -1 2 -3 -4 -5 0
81,26,n_5_m_16,0.0182,0, SATISFIABLE,v -1 -2 3 -4 -5 0
82,26,n_5_m_17,0.0001,"[False,False,True,False,True]", SATISFIABLE,v -1 -2 3 -4 5 0
83,26,n_5_m_18,0.017,0, SATISFIABLE,v -1 -2 3 4 5 0
84,26,n_5_m_19,0.0176,0, SATISFIABLE,v -1 2 3 4 5 0
85,26,n_5_m_20,0.0191,0, SATISFIABLE,v -1 2 3 4 5 0
86,26,n_5_m_21,0.0194,0, UNSATISFIABLE,0
87,26,n_5_m_22,0.0174,0, UNSATISFIABLE,0
