iterations,dimacs,runtime,solution,,,,
26,[5_k_3_n_5_m_19.dimacs],0.0176,None,,,,
26,[5_k_3_n_5_m_20.dimacs],0.0191,None,,,,
26,[5_k_3_n_5_m_21.dimacs],0.0194,None,,,,
26,[5_k_3_n_5_m_22.dimacs],0.0174,None,,,,
26,[5_k_3_n_5_m_23.dimacs],0.0001,"[True,","False,","False,","False,",False]
26,[5_k_3_n_5_m_24.dimacs],0.0221,None,,,,
26,[6_k_3_n_5_m_10.dimacs],0.0185,"[False,","True,","True,","True,",True]
26,[6_k_3_n_5_m_11.dimacs],0.0187,None,,,,
26,[6_k_3_n_5_m_12.dimacs],0.0173,None,,,,
26,[6_k_3_n_5_m_13.dimacs],0.0001,"[False,","True,","True,","False,",True]
26,[6_k_3_n_5_m_14.dimacs],0.0001,"[False,","True,","False,","True,",False]
26,[6_k_3_n_5_m_15.dimacs],0.0196,None,,,,
26,[6_k_3_n_5_m_16.dimacs],0.021,None,,,,
26,[6_k_3_n_5_m_17.dimacs],0.0001,"[False,","True,","True,","False,",False]
26,[6_k_3_n_5_m_18.dimacs],0.0181,None,,,,
26,[6_k_3_n_5_m_19.dimacs],0.0174,None,,,,
26,[6_k_3_n_5_m_20.dimacs],0.0176,None,,,,
26,[6_k_3_n_5_m_21.dimacs],0.0182,None,,,,
26,[6_k_3_n_5_m_22.dimacs],0.0191,None,,,,
26,[6_k_3_n_5_m_23.dimacs],0.019,None,,,,
26,[6_k_3_n_5_m_24.dimacs],0.0206,None,,,,
26,[7_k_3_n_5_m_10.dimacs],0.0181,None,,,,
26,[7_k_3_n_5_m_11.dimacs],0.0001,"[False,","True,","False,","False,",False]
26,[7_k_3_n_5_m_12.dimacs],0.0001,"[True,","True,","True,","True,",True]
26,[7_k_3_n_5_m_13.dimacs],0.0001,"[True,","True,","True,","False,",False]
26,[7_k_3_n_5_m_14.dimacs],0.0181,None,,,,
26,[7_k_3_n_5_m_15.dimacs],0.0171,None,,,,
26,[7_k_3_n_5_m_16.dimacs],0.0178,None,,,,
26,[7_k_3_n_5_m_17.dimacs],0.0001,"[False,","True,","True,","False,",False]
26,[7_k_3_n_5_m_18.dimacs],0.0001,"[False,","False,","False,","False,",False]
26,[7_k_3_n_5_m_19.dimacs],0.0001,"[False,","False,","False,","True,",False]
26,[7_k_3_n_5_m_20.dimacs],0.0187,None,,,,
26,[7_k_3_n_5_m_21.dimacs],0.0182,"[True,","False,","False,","False,",False]
26,[7_k_3_n_5_m_22.dimacs],0.018,None,,,,
26,[7_k_3_n_5_m_23.dimacs],0.017,None,,,,
26,[7_k_3_n_5_m_24.dimacs],0.0181,None,,,,
26,[8_k_3_n_5_m_10.dimacs],0.0172,"[False,","False,","True,","False,",False]
26,[8_k_3_n_5_m_11.dimacs],0.0185,None,,,,
26,[8_k_3_n_5_m_12.dimacs],0.018,None,,,,
26,[8_k_3_n_5_m_13.dimacs],0.0173,None,,,,
26,[8_k_3_n_5_m_14.dimacs],0.0176,None,,,,
26,[8_k_3_n_5_m_15.dimacs],0.0173,None,,,,
26,[8_k_3_n_5_m_16.dimacs],0.023,None,,,,
26,[8_k_3_n_5_m_17.dimacs],0.0183,None,,,,
26,[8_k_3_n_5_m_18.dimacs],0.0177,None,,,,
26,[8_k_3_n_5_m_19.dimacs],0.0001,"[True,","False,","False,","True,",True]
26,[8_k_3_n_5_m_20.dimacs],0.0001,"[True,","True,","False,","False,",False]
26,[8_k_3_n_5_m_21.dimacs],0.0176,None,,,,
26,[8_k_3_n_5_m_22.dimacs],0.0175,None,,,,
26,[8_k_3_n_5_m_23.dimacs],0.019,None,,,,
26,[8_k_3_n_5_m_24.dimacs],0.018,None,,,,
