,dimacs,satisfiability,sat_ass
94,n_5_m_14, SATISFIABLE,v -1 -2 -3 -4 -5 0
95,n_5_m_15, SATISFIABLE,v -1 2 -3 -4 -5 0
96,n_5_m_16, SATISFIABLE,v -1 2 3 4 5 0
97,n_5_m_17, SATISFIABLE,v -1 2 -3 -4 5 0
98,n_5_m_18, SATISFIABLE,v -1 2 3 4 5 0
99,n_5_m_19, SATISFIABLE,v -1 -2 3 -4 -5 0
100,n_5_m_20, SATISFIABLE,v -1 2 3 4 -5 0
101,n_5_m_21, SATISFIABLE,v -1 -2 -3 -4 -5 0
102,n_5_m_22, SATISFIABLE,v -1 2 3 -4 -5 0
103,n_5_m_23, SATISFIABLE,v -1 -2 3 4 -5 0
104,n_5_m_24, SATISFIABLE,v -1 2 -3 -4 -5 0
105,n_5_m_10, SATISFIABLE,v 1 -2 -3 -4 -5 0
106,n_5_m_11, UNSATISFIABLE,0
107,n_5_m_12, SATISFIABLE,v -1 -2 3 -4 -5 0
108,n_5_m_13, SATISFIABLE,v -1 2 3 -4 5 0
109,n_5_m_14, SATISFIABLE,v -1 2 3 -4 5 0
110,n_5_m_15, SATISFIABLE,v -1 2 3 4 -5 0
111,n_5_m_16, SATISFIABLE,v 1 2 -3 -4 5 0
112,n_5_m_17, SATISFIABLE,v -1 2 3 4 -5 0
113,n_5_m_18, UNSATISFIABLE,0
114,n_5_m_19, SATISFIABLE,v -1 2 -3 4 -5 0
115,n_5_m_20, SATISFIABLE,v 1 2 -3 -4 -5 0
116,n_5_m_21, SATISFIABLE,v -1 2 -3 4 5 0
117,n_5_m_22, SATISFIABLE,v -1 2 -3 4 -5 0
118,n_5_m_23, SATISFIABLE,v 1 2 -3 4 5 0
119,n_5_m_24, SATISFIABLE,v -1 2 3 -4 5 0
120,n_5_m_10, SATISFIABLE,v -1 -2 3 -4 -5 0
121,n_5_m_11, SATISFIABLE,v -1 2 -3 -4 -5 0
122,n_5_m_12, SATISFIABLE,v -1 2 3 4 5 0
123,n_5_m_13, UNSATISFIABLE,0
124,n_5_m_14, SATISFIABLE,v -1 2 -3 4 -5 0
125,n_5_m_15, SATISFIABLE,v -1 -2 -3 -4 5 0
126,n_5_m_16, UNSATISFIABLE,0
127,n_5_m_17, SATISFIABLE,v 1 -2 -3 -4 -5 0
128,n_5_m_18, SATISFIABLE,v -1 -2 3 4 -5 0
